timestamp_ms,disk_usage
0,679936
5416,16666624
10834,81326080
16148,253177856
21460,557740032
26808,882180096
32148,1112190976
37508,1459388416
42831,1573269504
48168,2109906944
53542,2355732480
58903,2522267648
64247,2976518144
69597,3044970496
74962,3504103424
80314,4027269120
85677,3983138816
91047,4352929792
96422,4050563072
101964,4452118528
107331,4806090752
112718,4781154304
118081,5088739328
123437,5617700864
128793,6057824256
134157,6142849024
139507,6945857536
144860,7080013824
150255,7537627136
155624,7767515136
161014,8290627584
166368,8483233792
171885,8369942528
177285,8722239488
182646,9072574464
188036,9579778048
193423,10167205888
198848,10267738112
204422,9762566144
209815,10278506496
215205,10554699776
220603,11185917952
225978,10763366400
231337,11327406080
236754,11179425792
242127,11598413824
247537,12355997696
252922,12884631552
258342,13157195776
263893,12836851712
269285,13493354496
274671,13446201344
280090,13388439552
285462,13494128640
290874,14148005888
296245,14709092352
301651,14976225280
307028,14599409664
312444,15024812032
317843,15573975040
323286,15178428416
328817,15484444672
334245,16311488512
339621,16797872128
345052,17736912896
350454,17487695872
355893,17115910144
361296,17859293184
366691,18223841280
372105,18952753152
377541,19418828800
382960,18992091136
388355,18980397056
393816,18741342208
399230,18776215552
404674,18705645568
410157,19032875008
415578,19610341376
421003,20037943296
426423,20560642048
431839,20938014720
437280,19606040576
442712,19918704640
448115,20166959104
453543,20764078080
458936,21555777536
464350,21802926080
469711,22119763968
475125,23259631616
480570,23475281920
486005,24186912768
491499,24457113600
496940,24519839744
502351,24573349888
507780,24825401344
513177,25248743424
518573,25929297920
524019,25556344832
529498,25774059520
534950,26063708160
540413,26532126720
545871,27425734656
551331,27455696896
556757,28055965696
562216,28418129920
567609,28906651648
573045,29818642432
578480,28908253184
583866,28575735808
589361,29002211328
594779,28978495488
600222,29823422464
605684,28737363968
611117,29214842880
616550,30132912128
621979,30294528000
627416,30507356160
632851,29720965120
638321,29563392000
643717,30258442240
649129,30375477248
654592,31022391296
660100,30311710720
665541,30588780544
671008,30504812544
676395,31398621184
681855,32030449664
687304,32030449664
692806,32585146368
698252,33557254144
703710,34287263744
709167,34705846272
714642,34621267968
720078,35129356288
725495,35446501376
730924,35912454144
736385,35657584640
741833,35388641280
747331,36288221184
752822,36737466368
758242,37348110336
763670,37600817152
769112,38136868864
774591,37274312704
780030,37717409792
785521,38369787904
790978,38891991040
796374,38290354176
801839,39002398720
807311,38121361408
812709,37480271872
818121,37480271872
823632,37913747456
829088,38773391360
834557,39339458560
840046,39711961088
845454,40056053760
850953,39492059136
856445,39900790784
861829,40278302720
867367,40783708160
872824,40817491968
878283,41647104000
883742,41922260992
889192,42447749120
894593,43155111936
900107,42875613184
905555,43523674112
911018,44442140672
916429,44081606656
921933,44574945280
927407,44958916608
932854,44334542848
938298,44687912960
943765,45206536192
949225,45181227008
954642,44292341760
960189,44778332160
965624,43784138752
971115,44374130688
976572,43548209152
982029,43878723584
987506,44410564608
992960,44900777984
998396,45141225472
